LAMINAS,9x13,14x21,A5,17x24,19x25,20x28,VALOR ML,QTD FLS
1000,8.000,4.000,3.000,2.000,2.000,2.000,"R$ 1.430,00",646
1500,12.000,6.000,4.500,3.000,3.000,3.000,"R$ 1.605,00",903
2000,16.000,8.000,6.000,4.000,4.000,4.000,"R$ 1.760,00",1161
2500,20.000,10.000,7.500,5.000,5.000,5.000,"R$ 1.940,00",1419
3000,24.000,12.000,9.000,6.000,6.000,6.000,"R$ 2.100,00",1677
3500,28.000,14.000,10.500,7.000,7.000,7.000,"R$ 2.264,50",1935
4000,32.000,16.000,12.000,8.000,8.000,8.000,"R$ 2.440,00",2193
4500,36.000,18.000,13.500,9.000,9.000,9.000,"R$ 2.596,50",2451
5000,40.000,20.000,15.000,10.000,10.000,10.000,"R$ 2.765,00",2709
5500,44.000,22.000,16.500,11.000,11.000,11.000,"R$ 2.915,00",2962
6000,48.000,24.000,18.000,12.000,12.000,12.000,"R$ 3.060,00",3216
6500,52.000,26.000,19.500,13.000,13.000,13.000,"R$ 3.224,00",3470
7000,56.000,28.000,21.000,14.000,14.000,14.000,"R$ 3.374,00",3724
7500,60.000,30.000,22.500,15.000,15.000,15.000,"R$ 3.525,00",3978
8000,64.000,32.000,24.000,16.000,16.000,16.000,"R$ 3.680,00",5750