DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO
20411 OFFSET 75G - CHAMBRILUNICA-66,20000,03/01/2024,12/01/2024,08/01/2024,10/01/2024,12/01/2024,199837,Rio Branco Papéis,9080,0.0,1080.6,Flora,Boleto,3,R$ 0.45
Offset 120g/m2 76x112,2000,03/01/2024,12/01/2024,08/01/2024,10/01/2024,12/01/2024,199837,Rio Branco Papéis,2056,0.0,246.72,Flora,Boleto,3,R$ 1.03
Kraft Natural 175g/m2 66x96,2000,03/01/2024,12/01/2024,15/01/2024,12/01/2024,15/01/2024,29009,N.S.P. Comercial de Papéis Ltda RJ,1830,30.0,329.4,Bruniel,Boleto,3,R$ 0.92
Couche Brilho 250g/m2 66x96,3000,24/01/2024,31/01/2024,28/01/2024,29/01/2024,31/01/2024,201646,Rio Branco Papéis,4063.92,0.0,157.44,Flora,Boleto,3,R$ 1.35
MP060 Couche Brilho 170g/m2 66x96UNICA-U,4500,24/01/2024,31/01/2024,28/01/2024,29/01/2024,31/01/2024,201646,Rio Branco Papéis,4619.57,0.0,554.35,Flora,Boleto,3,R$ 1.03
MP062 Couche Brilho 170g/m2 76x112UNICA-U,7500,24/01/2024,31/01/2024,28/01/2024,29/01/2024,31/01/2024,201646,Rio Branco Papéis,10350,0.0,1242.0,Flora,Boleto,3,R$ 1.38
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,1500,24/01/2024,31/01/2024,28/01/2024,29/01/2024,31/01/2024,201646,Rio Branco Papéis,1358.6,0.0,163.03,Flora,Boleto,3,R$ 0.91
MP041 Offset 90g/m2 64x88UNICA-U,36500,25/01/2024,31/01/2024,28/01/2024,30/01/2024,31/01/2024,222593,Suzano,15198.77,0.0,1766.44,Asaliah,Boleto,3,R$ 0.42
MP039 Offset 90g/m2 76x112UNICA-U,36250,25/01/2024,31/01/2024,28/01/2024,29/01/2024,31/01/2024,201721,Rio Branco Papéis,25955,0.0,3114.6,Flora,Boleto,3,R$ 0.72
Offset 120g/m2 76x112,3750,29/01/2024,02/02/2024,30/01/2024,31/01/2024,02/02/2024,752107,Suzano,3150.88,0.0,366.2,Asaliah,Boleto,3,R$ 0.84
MP041 Offset 90g/m2 64x88UNICA-U,250,30/01/2024,02/02/2024,05/02/2024,07/02/2024,08/02/2024,753422,Suzano,109.55,0.0,12.73,Natural,Boleto,3,R$ 0.44
MP039 Offset 90g/m2 76x112UNICA-U,250,30/01/2024,02/02/2024,05/02/2024,07/02/2024,08/02/2024,753422,Suzano,165.26,0.0,19.21,Natural,Boleto,3,R$ 0.66
Cartao Supremo Alta Alvura 250g/m2 66x96,600,02/02/2024,08/02/2024,08/06/2024,08/02/2024,08/02/2024,223480,Suzano,820.2,0.0,95.33,Flora,Boleto,3,R$ 1.37
MP027 Offset 240g/m2 66x96UNICA-U,12500,02/02/2024,08/02/2024,05/02/2024,07/02/2024,08/02/2024,753422,Suzano,18139.8,0.0,2108.3,Natural,Boleto,3,R$ 1.45
Offset 240g/m2 76x112,3750,02/02/2024,08/02/2024,05/02/2024,07/02/2024,08/02/2024,723422,Suzano,6041,0.0,702.11,Natural,Boleto,3,R$ 1.61
Offset 240g/m2 76x112,14750,15/02/2024,21/02/2024,20/02/2024,20/02/2024,22/02/2024,203675,Rio Branco Papéis,30916,0.0,3709.92,Bruniel,Boleto,3,R$ 2.10
20403 SCRITURA 130G - 66X96UNICA-U,30000,20/02/2024,30/04/2024,27/02/2024,28/03/2024,30/04/2024,3652,Verde Forte,72647.97,3295.74,8443.35,Gomes,Boleto,3,R$ 2.42
20411 OFFSET 75G - CHAMBRILUNICA-66,24000,20/02/2024,26/02/2024,26/02/2024,26/02/2024,27/02/2024,204329,Rio Branco Papéis,10834.56,0.0,1300.15,Bruniel,Boleto,3,R$ 0.45
Papel Offset 75g A4,10000,20/02/2024,22/02/2024,20/02/2024,21/02/2024,23/02/2024,88608,Castro e Castro,235.89,0.0,25.48,Elohim,Boleto,1,R$ 0.02
Offset 75g/m2 76x112,46500,28/02/2024,06/03/2024,01/03/2024,01/03/2024,06/03/2024,204960,Rio Branco Papéis,28201.32,0.0,3384.16,Flora,Boleto,3,R$ 0.61
Offset 240g/m2 76x112,7875,04/03/2024,08/03/2024,06/03/2024,07/03/2024,11/03/2024,97503,Central Advance,16212.48,1142.4,1945.5,Natural,Boleto,5,R$ 2.06
MP034 Offset 150g/m2 76x112UNICA-U,7500,11/03/2024,15/03/2024,13/03/2024,13/03/2024,15/03/2024,226035,Suzano,8878.3,0.0,1031.86,Flora,Boleto,3,R$ 1.18
Offset 150g/m2 66x96,625,12/03/2024,19/03/2024,15/03/2024,15/03/2024,19/03/2024,226400,Suzano,673.73,0.0,74.12,Flora,Boleto,3,R$ 1.08
Cartao Supremo Alta Alvura 300g/m2 66x96,2750,18/03/2024,20/03/2024,20/03/2024,20/03/2024,21/03/2024,165964,Suzano,5351.4,0.0,1036.59,Flora,Boleto,3,R$ 1.95
Offset 120g/m2 76x112,750,18/03/2024,20/03/2024,20/03/2024,20/03/2024,21/03/2024,207117,Rio Branco Papéis,773.86,0.0,92.86,Flora,Boleto,2,R$ 1.03
MP042 Polen Natural 80g/m2 66x96UNICA-U,48000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512626,Suzano,18950.18,0.0,2202.44,Flora,Boleto,1,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,168000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512629,Suzano,66325.63,0.0,7708.55,Elohim,Boleto,1,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,48000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512628,Suzano,19821.9,0.0,2303.76,Elohim,Boleto,3,R$ 0.41
MP042 Polen Natural 80g/m2 66x96UNICA-U,72000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512630,Suzano,29732.84,0.0,3455.63,Bruniel,Boleto,3,R$ 0.41
MP042 Polen Natural 80g/m2 66x96UNICA-U,48000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512625,Suzano,18950.18,0.0,2202.44,Flora,Boleto,1,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,48000,15/02/2024,12/04/2024,22/04/2024,22/04/2024,22/04/2024,1512627,Suzano,19821.9,0.0,2303.76,Asaliah,Boleto,3,R$ 0.41
MP027 Offset 240g/m2 66x96UNICA-U,19250,29/04/2024,03/05/2024,29/04/2024,03/05/2024,03/05/2024,230409,Suzano,26362.65,0.0,3163.52,Bela,Boleto,1,R$ 1.37
couche matte 210g/m2 - 66x96,4000,29/04/2024,03/05/2024,29/04/2024,03/05/2024,03/05/2024,230409,Suzano,4471.81,0.0,536.62,Bela,Boleto,1,R$ 1.12
Polen Natural 80g/m2 87x114,11000,29/04/2024,03/05/2024,15/02/2024,16/04/2024,03/05/2024,767082,Suzano,6967.82,0.0,809.82,Asaliah,Boleto,1,R$ 0.63
MP042 Polen Natural 80g/m2 66x96UNICA-U,24000,29/04/2024,03/05/2024,15/02/2024,29/04/2024,03/05/2024,769524,Suzano,10157.68,0.0,1180.55,Flora,Boleto,3,R$ 0.42
MP042 Polen Natural 80g/m2 66x96UNICA-U,24000,29/04/2024,03/05/2024,15/02/2024,29/04/2024,03/05/2024,769525,Suzano,10157.68,0.0,1180.55,Elohim,Boleto,3,R$ 0.42
MP042 Polen Natural 80g/m2 66x96UNICA-U,70000,03/05/2024,08/05/2024,15/02/2024,03/05/2024,03/05/2024,230407,Suzano,30462.22,0.0,3540.4,Elohim,Boleto,3,R$ 0.44
Polen Natural 80g/m2 64x88,27000,07/05/2024,10/05/2024,09/05/2024,16/05/2024,16/05/2024,231596,Suzano,10673.87,0.0,1240.55,Bela,Boleto,1,R$ 0.40
Polen Natural 80g/m2 87x114,16500,03/05/2024,08/05/2024,03/05/2024,03/05/2024,03/05/2024,230408,Suzano,11272.66,0.0,1310.13,Bruniel,Boleto,1,R$ 0.68
Couche Matte 210g/m2 66x96,750,13/05/2024,17/05/2024,14/05/2024,14/05/2024,17/05/2024,213040,Rio Branco Papéis,975,0.0,117.0,Asaliah,Boleto,3,R$ 1.30
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,3500,13/05/2024,17/05/2024,14/05/2024,14/05/2024,17/05/2024,213038,Rio Branco Papéis,2948.82,0.0,114.24,Asaliah,Boleto,3,R$ 0.84
Offset 63g/m2 66x96,1000,15/05/2024,17/05/2024,15/05/2024,16/05/2024,17/05/2024,31777,N.S.P. Comercial de Papéis Ltda RJ,406,18.8,93.46,Natural,Boleto,2,R$ 0.41
20411 OFFSET 75G - CHAMBRILUNICA-66,500,15/05/2024,17/05/2024,15/05/2024,16/05/2024,17/05/2024,31777,N.S.P. Comercial de Papéis Ltda RJ,242,11.2,55.7,Natural,Boleto,2,R$ 0.48
MP042 Polen Natural 80g/m2 66x96UNICA-U,31500,15/05/2024,15/05/2024,15/02/2024,15/05/2024,18/05/2024,772538,Suzano,13512.91,0.0,1621.55,Bela,Boleto,1,R$ 0.43
MP023 OFFSET 75G/M2 89X117UNICA-U,31000,17/05/2024,22/05/2024,22/05/2024,23/05/2024,27/05/2024,214145,Rio Branco Papéis,23188,0.0,2782.56,Elohim,Boleto,3,R$ 0.75
Offset 63g/m2 66x96,2500,20/05/2024,21/05/2024,20/05/2024,24/05/2024,21/05/2024,54,N.S.P. Comercial de Papéis Ltda RJ,1010,30.0,228.8,Natural,Boleto,2,R$ 0.40
Polen Natural 80g/m2 87x114,25000,16/05/2024,20/05/2024,15/02/2024,16/05/2024,20/05/2024,772796,Suzano,16661.09,0.0,1936.4,Elohim,Boleto,1,R$ 0.67
Polen Natural 80g/m2 87x114,50000,16/05/2024,20/05/2024,15/02/2024,16/05/2024,20/05/2024,772794,Suzano,33321.85,0.0,3872.76,Asaliah,Boleto,1,R$ 0.67
Polen Natural 80g/m2 87x114,12000,17/05/2024,20/05/2024,15/02/2024,17/05/2024,20/05/2024,773127,Suzano,8365.26,0.0,972.23,Asaliah,Boleto,3,R$ 0.70
MP042 Polen Natural 80g/m2 66x96UNICA-U,60500,17/05/2024,20/05/2024,15/02/2024,17/05/2024,20/05/2024,772795,Suzano,25754.86,0.0,2993.3,Elohim,Boleto,1,R$ 0.43
MP060 Couche Brilho 170g/m2 66x96UNICA-U,15000,21/05/2024,03/06/2024,29/05/2024,29/05/2024,29/05/2024,214836,Rio Branco Papéis,14013.83,0.0,542.91,Elohim,Boleto,3,R$ 0.93
MP062 Couche Brilho 170g/m2 76x112UNICA-U,30000,21/05/2024,03/06/2024,29/05/2024,29/05/2024,29/05/2024,214836,Rio Branco Papéis,37654.7,0.0,1458.78,Elohim,Boleto,3,R$ 1.26
Couche Brilho 250g/m2 66x96,4000,21/05/2024,03/06/2024,31/05/2024,31/05/2024,29/05/2024,214836,Central Advance,8236.8,400.0,988.42,Natural,Boleto,5,R$ 2.06
MP060 Couche Brilho 170g/m2 66x96UNICA-U,9500,21/05/2024,24/06/2024,20/06/2024,21/06/2024,26/06/2024,217358,Rio Branco Papéis,9690,0.0,1162.8,Flora,Boleto,3,R$ 1.02
MP062 Couche Brilho 170g/m2 76x112UNICA-U,30000,21/05/2024,24/06/2024,20/06/2024,21/06/2024,26/06/2024,217358,Rio Branco Papéis,41075.32,0.0,4929.04,Flora,Boleto,3,R$ 1.37
Couche Brilho 250g/m2 66x96,2500,21/05/2024,24/06/2024,21/06/2024,21/06/2024,26/06/2024,100224,Central Advance,5160,400.0,619.2,Natural,Boleto,5,R$ 2.06
Papel Adesivo Brilho 190g/m2 66x96,700,21/05/2024,24/05/2024,24/05/2024,24/05/2024,24/05/2024,1,Suzano,1736.84,0.0,,Bela,Pix,1,R$ 2.48
Couche Brilho 150g/m2 66x96,2000,21/05/2024,07/06/2024,05/06/2024,05/06/2024,05/06/2024,776250,Suzano,1570.24,0.0,188.43,Asaliah,Boleto,3,R$ 0.79
MP061 Couche Brilho 170g/m2 64x88UNICA-U,1000,21/05/2024,07/06/2024,05/06/2024,05/06/2024,05/06/2024,776250,Suzano,791.07,0.0,94.93,Asaliah,Boleto,3,R$ 0.79
MP060 Couche Brilho 170g/m2 66x96UNICA-U,1750,21/05/2024,07/06/2024,07/06/2024,05/06/2024,07/06/2024,215510,Rio Branco Papéis,1631.05,0.0,51.34,Asaliah,Boleto,3,R$ 0.93
Kraft Natural 120g/m2 660 x 960,9250,21/05/2024,07/06/2024,07/06/2024,05/06/2024,07/06/2024,215510,Rio Branco Papéis,6187.58,0.0,742.51,Asaliah,Boleto,3,R$ 0.67
Kraft Natural 180g/m2 66x96,750,21/05/2024,07/06/2024,07/06/2024,05/06/2024,07/06/2024,215510,Rio Branco Papéis,821.38,0.0,821.38,Asaliah,Boleto,3,R$ 1.10
Offset 120g/m2 64x88,8750,21/05/2024,07/06/2024,04/06/2024,06/06/2024,07/06/2024,776578,Suzano,5273.1,0.0,593.56,Natural,Boleto,3,R$ 0.60
MP028 Offset 120g/m2 66x96UNICA-U,19500,21/05/2024,07/06/2024,04/06/2024,06/06/2024,07/06/2024,776578,Suzano,13206.3,0.0,1488.42,Natural,Boleto,3,R$ 0.68
20411 OFFSET 75G - CHAMBRILUNICA-66,1750,21/05/2024,07/06/2024,04/06/2024,06/06/2024,07/06/2024,776578,Suzano,847.37,0.0,95.38,Natural,Boleto,3,R$ 0.48
Offset 75g/m2 64x88,750,21/05/2024,07/06/2024,04/06/2024,06/06/2024,07/06/2024,776578,Suzano,376.55,0.0,42.39,Natural,Boleto,3,R$ 0.50
Cartao Supremo Alta Alvura 250g/m2 77x113,1250,21/05/2024,07/06/2024,04/06/2024,06/06/2024,07/06/2024,233451,Suzano,2346.25,0.0,272.69,Natural,Boleto,3,R$ 1.88
MP042 Polen Natural 80g/m2 66x96UNICA-U,60500,16/05/2024,16/05/2024,15/02/2024,16/05/2024,16/05/2024,772795,Suzano,25754.86,0.0,2993.3,Elohim,Boleto,1,R$ 0.43
Papel Adesivo Brilho 190g/m2 66x96,1500,31/05/2024,05/06/2024,04/06/2024,05/06/2024,07/05/2024,215510,Rio Branco Papéis,3375,0.0,405.0,Asaliah,Boleto,3,R$ 2.25
Polen Natural 80g/m2 64x88,10000,04/06/2024,07/06/2024,06/06/2024,16/06/2024,11/06/2024,243191,Suzano,3946.88,0.0,458.72,Bruniel,Boleto,3,R$ 0.39
MP027 Offset 240g/m2 66x96UNICA-U,1000,05/06/2024,10/06/2024,06/06/2024,07/06/2024,10/06/2024,215732,Rio Branco Papéis,25440,0.0,3052.8,Elohim,Boleto,3,R$ 25.44
Couche Matte 90g/m2 66x96,2000,06/06/2024,12/06/2024,13/06/2024,13/06/2024,17/06/2024,216394,Rio Branco Papéis,1080,0.0,120.6,Asaliah,Boleto,3,R$ 0.54
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,2000,06/06/2024,11/06/2024,13/06/2024,13/06/2024,17/06/2024,216394,Rio Branco Papéis,1610.7,0.0,0.0,Asaliah,Boleto,3,R$ 0.81
Papel Vegetal 140g/m2 66x96,500,06/06/2024,11/06/2024,17/06/2024,25/06/2024,20/06/2024,104813,Diplomata Papéis,796,10.0,0.0,Projeto,Cartão,4,R$ 1.59
Papel Adesivo Brilho 190g/m2 66x96,1500,10/06/2024,14/06/2024,07/06/2024,10/06/2024,12/06/2024,99907,Central Advance,3525,300.0,423.0,Natural,Boleto,3,R$ 2.35
Offset 63g/m2 66x96,1500,12/06/2024,17/06/2024,13/06/2024,13/06/2024,17/06/2024,216394,Rio Branco Papéis,567,0.0,68.04,Asaliah,Boleto,3,R$ 0.38
Kraft Natural 110g/m2 - 66x96,5000,17/06/2024,20/06/2024,18/06/2024,18/06/2024,20/06/2024,216898,Rio Branco Papéis,3380,0.0,405.6,Flora,Boleto,3,R$ 0.68
Kraft Natural 240g/m2 66x96,500,17/06/2024,20/06/2024,18/06/2024,18/06/2024,20/06/2024,216898,Rio Branco Papéis,768.18,0.0,89.28,Flora,Boleto,3,R$ 1.54
Kraft Natural 140g/m2 66x96,2000,26/06/2024,01/07/2024,04/07/2024,04/07/2024,04/07/2024,495,N.S.P. Comercial de Papéis Ltda RJ,1440,30.0,323.4,Natural,Boleto,3,R$ 0.72
Papel Reciclato 240g 66x96,3,26/06/2024,26/06/2024,26/06/2024,26/06/2024,26/06/2024,104897,Diplomata Papéis,10.5,0.0,0.0,Gomes,Dinheiro,1,R$ 3.50
Papel Adesivo Brilho 190g/m2 66x96,1500,27/06/2024,01/07/2024,27/06/2024,27/06/2024,28/06/2024,217921,Rio Branco Papéis,3525,0.0,423.0,Universo,Boleto,3,R$ 2.35
Offset 240g/m2 76x112,3500,28/06/2024,03/07/2024,02/07/2024,02/07/2024,04/07/2024,218208,Rio Branco Papéis,7616,0.0,913.92,Flora,Boleto,3,R$ 2.18
Kraft Natural 110g/m2 - 66x96,2000,03/07/2024,04/07/2024,03/07/2024,03/07/2024,04/07/2024,478,N.S.P. Comercial de Papéis Ltda RJ,1168,30.0,263.56,Natural,Boleto,3,R$ 0.58
20411 OFFSET 75G - CHAMBRILUNICA-66,10000,03/07/2024,09/07/2024,12/07/2024,10/07/2024,12/07/2024,783479,Suzano,4103.35,0.0,476.9,Universo,Boleto,3,R$ 0.41
Papel Adesivo Brilho 190g/m2 66x96,1800,08/07/2024,09/07/2024,10/07/2024,08/07/2024,08/07/2024,219128,Rio Branco Papéis,4230,0.0,507.6,Universo,Boleto,3,R$ 2.35
Pappel Color Plus Havana 180g 66 x 96,1,03/07/2024,03/07/2024,03/07/2024,03/07/2024,03/07/2024,105505,Diplomata Papéis,7.62,0.0,0.0,Gomes,Dinheiro,1,R$ 7.62
Polen Natural 80g/m2 64x88,79000,09/07/2024,12/07/2024,11/07/2024,11/07/2024,15/07/2024,236963,Suzano,30560.8,0.0,3551.86,Natural,Boleto,3,R$ 0.39
20411 OFFSET 75G - CHAMBRILUNICA-66,10000,10/07/2024,19/07/2024,17/07/2024,19/07/2024,22/07/2024,237638,Suzano,4008.67,0.0,465.9,Asaliah,Boleto,3,R$ 0.40
Couche FIT Brilho 90g 64x88,5750,10/07/2024,12/07/2024,10/07/2024,11/07/2024,12/07/2024,219449,Rio Branco Papéis,2940,0.0,352.8,Universo,Boleto,3,R$ 0.51
Couche Matte 90g/m2 66x96,750,11/07/2024,15/07/2024,10/07/2024,11/07/2024,15/07/2024,219449,Rio Branco Papéis,2940,0.0,352.8,Universo,Boleto,3,R$ 3.92
PAPEL COUCHE FOSCO 90GR 66 X 96,3,11/07/2024,11/07/2024,11/07/2024,11/07/2024,11/07/2024,106308,Diplomata Papéis,5.5,0.0,0.0,Gomes,Dinheiro,1,R$ 1.83
MP041 Offset 90g/m2 64x88UNICA-U,36500,15/07/2024,19/07/2024,17/07/2024,18/07/2024,22/07/2024,220274,Rio Branco Papéis,17958,0.0,2154.96,Natural,Boleto,3,R$ 0.49
Cartao Supremo Alta Alvura 250g/m2 66x96,2500,17/07/2024,18/07/2024,17/07/2024,18/07/2024,22/07/2024,220274,Rio Branco Papéis,3844,0.0,446.76,Natural,Boleto,3,R$ 1.54
MP042 Polen Natural 80g/m2 66x96UNICA-U,23000,17/07/2024,27/07/2024,18/07/2024,19/07/2024,24/07/2024,237637,Suzano,10008.96,0.0,1163.27,Flora,Boleto,3,R$ 0.44
MP042 Polen Natural 80g/m2 66x96UNICA-U,12000,17/07/2024,27/07/2024,18/07/2024,22/07/2024,24/07/2024,237760,Suzano,5222.16,0.0,606.93,Flora,Boleto,3,R$ 0.44
Cartao Supremo Alta Alvura 250g/m2 66x96,750,18/07/2024,22/07/2024,22/07/2024,19/07/2024,23/07/2024,220393,Rio Branco Papéis,1192.54,0.0,138.6,Natural,Boleto,3,R$ 1.59
Kraft Natural 110g/m2 - 66x96,500,19/07/2024,22/07/2024,01/07/2024,19/07/2024,23/07/2024,730,N.S.P. Comercial de Papéis Ltda RJ,468,30.0,102.96,Natural,Boleto,1,R$ 0.94
Polen Natural 80g/m2 64x88,10500,25/07/2024,29/07/2024,26/07/2024,30/07/2024,02/08/2024,238504,Suzano,4156.49,0.0,438.08,Natural,Boleto,3,R$ 0.40
Couche Matte 90g/m2 66x96,1000,23/07/2024,26/07/2024,25/07/2024,25/07/2024,25/07/2024,221012,Rio Branco Papéis,524.51,0.0,20.32,Natural,Boleto,2,R$ 0.52
Offset 63g/m2 72x102,52500,30/07/2024,05/08/2024,31/07/2024,01/08/2024,07/08/2024,788048,Suzano,19950,0.0,2318.63,Mar,Boleto,3,R$ 0.38
Offset 63g/m2 89x117,39250,30/07/2024,05/08/2024,31/07/2024,07/08/2024,09/08/2024,789092,Suzano,21810.66,0.0,2534.9,Bruniel,Boleto,3,R$ 0.56
MP023 OFFSET 75G/M2 89X117UNICA-U,62000,30/07/2024,05/08/2024,31/07/2024,02/08/2024,06/08/2024,221824,Rio Branco Papéis,46473.22,0.0,5576.79,Asaliah,Boleto,3,R$ 0.75
MP032 Offset 180g/m2 76x112UNICA-U,2500,30/07/2024,05/08/2024,31/07/2024,01/08/2024,07/08/2024,788048,Suzano,3663.5,0.0,429.74,Mar,Boleto,3,R$ 1.47
