DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO
MP033 Offset 180g/m2 89x117UNICA-U,6250,30/07/2024,05/08/2024,31/07/2024,02/08/2024,06/08/2024,221824,Rio Branco Papéis,12183.5,0.0,1462.02,Asaliah,Boleto,3,R$ 1.95
Offset 63g/m2 72x102,52500,30/07/2024,05/08/2024,31/07/2024,31/07/2024,07/08/2024,787724,Suzano,19494.87,0.0,2318.63,Asaliah,Boleto,3,R$ 0.37
Offset 63g/m2 72x102,12500,30/07/2024,05/08/2024,31/07/2024,02/08/2024,07/08/2024,238956,Suzano,5030.28,0.0,584.63,Asaliah,Boleto,3,R$ 0.40
Offset 63g/m2 72x102,12500,30/07/2024,05/08/2024,31/07/2024,05/08/2024,09/08/2024,101297,Central Advance,5831.25,0.0,699.75,Natural,Boleto,5,R$ 0.47
Offset 63g/m2 89x117,68000,30/07/2024,05/08/2024,31/07/2024,03/09/2024,04/09/2024,242121,Suzano,38462.76,0.0,4470.25,Mar,Boleto,3,R$ 0.57
Papel Reciclato 180g/m2 66x96,1,01/08/2024,01/08/2024,01/08/2024,01/08/2024,01/08/2024,108000,Diplomata Papéis,3.5,0.0,0.0,Gomes,Dinheiro,1,R$ 3.50
20411 OFFSET 75G - CHAMBRILUNICA-66,25000,06/08/2024,09/08/2024,07/08/2024,07/08/2024,09/08/2024,AV018120,Central Advance,11169,0.0,,Mar,Boleto,5,R$ 0.45
MP028 Offset 120g/m2 66x96UNICA-U,10000,06/08/2024,09/08/2024,07/08/2024,09/08/2024,09/08/2024,239573,Suzano,6567.4,0.0,763.28,Bruniel,Boleto,3,R$ 0.66
Offset 120g/m2 76x112,3750,06/08/2024,09/08/2024,07/08/2024,07/08/2024,09/08/2024,222220,Rio Branco Papéis,3827.17,0.0,459.26,Bruniel,Boleto,3,R$ 1.02
Polen Natural 80g/m2 64x88,27000,08/08/2024,14/08/2024,12/08/2024,13/08/2024,16/08/2024,239885,Suzano,10444.82,0.0,1213.93,Natural,Boleto,3,R$ 0.39
MP039 Offset 90g/m2 76x112UNICA-U,36500,09/08/2024,14/08/2024,12/08/2024,13/08/2024,16/08/2024,222795,Rio Branco Papéis,26572,0.0,3188.64,Bruniel,Boleto,3,R$ 0.73
MP042 Polen Natural 80g/m2 66x96UNICA-U,100000,05/08/2024,05/08/2024,05/08/2024,05/08/2024,05/08/2024,239122,Suzano,44840,0.0,5211.44,Natural,Boleto,3,R$ 0.45
Offset 63g/m2 89x117,9500,30/07/2024,05/08/2024,31/07/2024,07/08/2024,13/08/2024,789093,Suzano,5279.1,0.0,613.55,Bruniel,Boleto,3,R$ 0.56
Offset 63g/m2 89x117,250,30/07/2024,05/08/2024,31/07/2024,09/08/2024,13/08/2024,789668,Suzano,139.05,0.0,16.16,Bruniel,Boleto,3,R$ 0.56
20403 SCRITURA 130G - 66X96UNICA-U,73000,14/08/2024,14/10/2024,19/08/2024,30/09/2024,14/10/2024,4616,Verde Forte,76132.54,7000.0,8848.33,Mar,Boleto,3,R$ 1.04
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,2000,15/08/2024,23/08/2024,19/08/2024,19/08/2024,22/08/2024,223483,Rio Branco Papéis,1610.7,0.0,62.4,Flora,Boleto,3,R$ 0.81
20525 COUCHE MATTE 150G/M2 76X112UNICA-U,1000,15/08/2024,23/08/2024,19/08/2024,19/08/2024,22/08/2024,223483,Rio Branco Papéis,1082.06,0.0,41.92,Flora,Boleto,3,R$ 1.08
MP062 Couche Brilho 170g/m2 76x112UNICA-U,6500,15/08/2024,23/08/2024,19/08/2024,19/08/2024,22/08/2024,223481,Rio Branco Papéis,9680,0.0,1161.0,Flora,Boleto,3,R$ 1.49
MP027 Offset 240g/m2 66x96UNICA-U,10800,20/08/2024,26/08/2024,20/08/2024,28/08/2024,30/08/2024,241507,Suzano,15221.46,0.0,1769.08,Natural,Boleto,3,R$ 1.41
Papel Adesivo Brilho 190g/m2 66x96,900,20/08/2024,26/08/2024,20/08/2024,21/08/2024,26/08/2024,223785,Rio Branco Papéis,2160,0.0,259.2,Mar,Boleto,3,R$ 2.40
MP042 Polen Natural 80g/m2 66x96UNICA-U,72000,23/08/2024,02/09/2024,26/08/2024,27/08/2024,02/09/2024,241303,Suzano,31649.97,0.0,3678.45,Natural,Boleto,3,R$ 0.44
MP042 Polen Natural 80g/m2 66x96UNICA-U,23000,23/08/2024,02/09/2024,19/09/2024,23/09/2024,23/09/2024,244095,Suzano,9704.62,0.0,1164.55,Projeto,Boleto,3,R$ 0.42
MP042 Polen Natural 80g/m2 66x96UNICA-U,8000,23/08/2024,02/09/2024,19/09/2024,23/09/2024,23/09/2024,244095,Suzano,3375.52,0.0,405.06,Projeto,Boleto,3,R$ 0.42
MP027 Offset 240g/m2 66x96UNICA-U,6500,28/08/2024,04/09/2024,30/08/2024,30/08/2024,04/09/2024,241811,Suzano,9301.98,0.0,1081.1,Natural,Boleto,3,R$ 1.43
Offset 75g/m2 76x112,45000,29/08/2024,04/09/2024,03/09/2024,04/09/2024,04/09/2024,225472,Rio Branco Papéis,27180,0.0,3261.0,Bela,Boleto,3,R$ 0.60
MP032 Offset 180g/m2 76x112UNICA-U,2000,29/08/2024,04/09/2024,03/09/2024,04/09/2024,06/09/2024,242262,Suzano,2981.26,0.0,346.49,Projeto,Boleto,3,R$ 1.49
MP027 Offset 240g/m2 66x96UNICA-U,3500,29/08/2024,06/09/2024,03/09/2024,03/09/2024,06/09/2024,794380,Suzano,5073.82,0.0,608.86,Projeto,Boleto,3,R$ 1.45
MP027 Offset 240g/m2 66x96UNICA-U,1500,29/08/2024,06/09/2024,03/09/2024,03/09/2024,06/09/2024,794380,Suzano,2114.1,0.0,253.69,Projeto,Boleto,3,R$ 1.41
Polen Natural 80g/m2 87x114,6750,03/09/2024,09/09/2024,05/09/2024,09/09/2024,11/09/2024,242604,Suzano,4601.69,0.0,534.46,Projeto,Boleto,3,R$ 0.68
Polen Natural 80g/m2 64x88,27000,04/09/2024,11/09/2024,05/09/2024,09/09/2024,11/09/2024,242604,Suzano,10057.99,0.0,1168.97,Projeto,Boleto,3,R$ 0.37
20411 OFFSET 75G - CHAMBRILUNICA-66,25000,04/09/2024,11/09/2024,05/09/2024,06/09/2024,11/09/2024,225799,Rio Branco Papéis,11500,0.0,1380.0,Asaliah,Boleto,3,R$ 0.46
MP042 Polen Natural 80g/m2 66x96UNICA-U,30000,04/09/2024,11/09/2024,19/09/2024,23/09/2024,23/09/2024,244029,Suzano,12658.2,0.0,1471.19,Projeto,Boleto,3,R$ 0.42
Papel Reciclato 240g/m2 66x96,30,10/09/2024,16/09/2024,10/09/2024,10/09/2024,10/09/2024,111621,Diplomata Papéis,105,0.0,0.0,Projeto,Dinheiro,1,R$ 3.50
Offset 240g/m2 76x112,3500,10/09/2024,20/09/2024,13/09/2024,16/09/2024,19/09/2024,796976,Suzano,6766.18,0.0,786.38,Projeto,Boleto,3,R$ 1.93
20411 OFFSET 75G - CHAMBRILUNICA-66,22000,20/09/2024,24/09/2024,23/09/2024,24/09/2024,26/09/2024,244236,Suzano,8819.08,0.0,1024.98,Mar,Boleto,3,R$ 0.40
Papel Adesivo Brilho 190g/m2 66x96,3000,19/09/2024,24/09/2024,20/09/2024,20/09/2024,24/09/2024,227456,Rio Branco Papéis,7200,0.0,864.0,Bela,Boleto,3,R$ 2.40
Couche Brilho 210g/m2 66 x 96 - 150 fls,10,24/09/2024,24/09/2024,24/09/2024,24/09/2024,24/09/2024,112900,Diplomata Papéis,25.6,0.0,0.0,Gomes,Dinheiro,1,R$ 2.56
Offset 180g/m2 66x96,10,24/09/2024,24/09/2024,24/09/2024,24/09/2024,24/09/2024,112900,Diplomata Papéis,23.5,0.0,0.0,Gomes,Dinheiro,1,R$ 2.35
MP028 Offset 120g/m2 66x96UNICA-U,10000,30/09/2024,04/10/2024,01/10/2024,08/10/2024,04/10/2024,245616,Suzano,6567.4,0.0,763.28,Asaliah,Boleto,3,R$ 0.66
Polen Natural 80g/m2 64x88,26000,07/10/2024,11/10/2024,10/10/2024,14/10/2024,15/10/2024,802970,Suzano,10291.84,0.0,1196.12,Flora,Boleto,3,R$ 0.40
Color Plus Los Angeles 120g/m2 660 x 960,50,09/10/2024,10/10/2024,10/10/2024,10/10/2024,10/10/2024,114568,Diplomata Papéis,253.5,0.0,0.0,Projeto,Cartão,1,R$ 5.07
Color Plus Santiago 120g/m2 660x960,6,10/10/2024,10/10/2024,10/10/2024,10/10/2024,10/10/2024,114568,Diplomata Papéis,30.42,0.0,0.0,Projeto,Cartão,1,R$ 5.07
MP042 Polen Natural 80g/m2 66x96UNICA-U,1000,07/10/2024,11/10/2024,10/10/2024,14/10/2024,15/10/2024,802970,Suzano,445.37,0.0,51.76,Flora,Boleto,3,R$ 0.45
MP042 Polen Natural 80g/m2 66x96UNICA-U,150000,22/10/2024,25/10/2024,18/10/2024,24/10/2024,25/10/2024,247263,Suzano,65276.03,0.0,7586.56,Natural,Boleto,3,R$ 0.44
MP042 Polen Natural 80g/m2 66x96UNICA-U,30000,22/10/2024,25/10/2024,18/10/2024,22/10/2024,25/10/2024,246993,Suzano,13055.17,0.0,1517.31,Mar,Boleto,3,R$ 0.44
Kraft Natural 110g/m2 - 66x96,2000,23/10/2024,30/10/2024,24/10/2024,24/10/2024,30/10/2024,4471,N.S.P. Comercial de Papéis Ltda RJ,1176,30.0,,Natural,Boleto,3,R$ 0.59
Polen Bold 90g/m2 66x96,15,17/10/2024,17/10/2024,17/10/2024,17/10/2024,17/10/2024,139007,Diplomata Papéis,19.35,0.0,0.0,Gomes,Cartão,1,R$ 1.29
MP042 Polen Natural 80g/m2 66x96UNICA-U,27000,06/11/2024,13/11/2024,11/11/2024,14/11/2024,14/11/2024,23657,Suzano,11109.36,0.0,1291.16,Natural,Boleto,3,R$ 0.41
MP042 Polen Natural 80g/m2 66x96UNICA-U,30000,06/11/2024,13/11/2024,11/11/2024,14/11/2024,14/11/2024,23655,Suzano,12343.72,0.0,1434.62,Mar,Boleto,3,R$ 0.41
20411 OFFSET 75G - CHAMBRILUNICA-66,30000,07/11/2024,14/11/2024,11/11/2024,14/11/2024,15/11/2024,23656,Suzano,11727.23,0.0,1352.97,Natural,Boleto,3,R$ 0.39
Polen Natural 80g/m2 64x88,52000,12/11/2024,21/11/2024,13/11/2024,19/11/2024,22/11/2024,23931,Suzano,19112.97,0.0,2293.56,Bruniel,Boleto,4,R$ 0.37
Polen Natural 80g/m2 64x88,27000,12/11/2024,21/11/2024,13/11/2024,19/11/2024,22/11/2024,23931,Suzano,9924.04,0.0,1081.2,Bruniel,Boleto,4,R$ 0.37
Polen Natural 80g/m2 64x88,27000,19/11/2024,22/11/2024,22/11/2024,26/11/2024,27/11/2024,24684,Suzano,10166.92,0.0,1181.63,Bruniel,Boleto,4,R$ 0.38
Kraft Natural 140g/m2 66x96,3000,19/11/2024,26/11/2024,22/11/2024,25/11/2024,26/11/2024,234502,Rio Branco Papéis,2568,0.0,308.16,Bruniel,Boleto,3,R$ 0.86
Couche Matte 250g/m2 66x96,3000,19/11/2024,29/11/2024,22/11/2024,26/11/2024,29/11/2024,811826,Suzano,4479.78,0.0,173.55,Bruniel,Boleto,3,R$ 1.49
MP060 Couche Brilho 170g/m2 66x96UNICA-U,10000,19/11/2024,29/11/2024,22/11/2024,25/11/2024,29/11/2024,24480,Suzano,8790.87,0.0,1021.7,Bruniel,Boleto,3,R$ 0.88
MP062 Couche Brilho 170g/m2 76x112UNICA-U,2000,19/11/2024,29/11/2024,22/11/2024,25/11/2024,29/11/2024,24480,Suzano,2481.07,0.0,288.36,Bruniel,Boleto,3,R$ 1.24
Polen Natural 80g/m2 87x114,7500,20/11/2024,26/11/2024,22/11/2024,26/11/2024,27/11/2024,24684,Suzano,4973.53,0.0,578.04,Bruniel,Boleto,4,R$ 0.66
20411 OFFSET 75G - CHAMBRILUNICA-66,51500,25/11/2024,28/11/2024,27/11/2024,28/11/2024,02/12/2024,25019,Suzano,20095.82,0.0,2335.59,Bruniel,Boleto,4,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,52000,25/11/2024,02/12/2024,27/11/2024,28/11/2024,02/12/2024,25019,Suzano,22026.99,0.0,2560.04,Bruniel,Boleto,4,R$ 0.42
Polen Natural 80g/m2 87x114,63000,25/11/2024,02/12/2024,27/11/2024,28/11/2024,02/12/2024,25019,Suzano,41778.07,0.0,4855.56,Bruniel,Boleto,4,R$ 0.66
Papel Reciclato 120g/m2 660 x 960,30,26/11/2024,28/11/2024,27/11/2024,27/11/2024,06/12/2024,,Diplomata Papéis,52.5,0.0,0.0,Mar,Pix,1,R$ 1.75
Papel Reciclato 75g/m2 66x96,80,26/11/2024,28/11/2024,27/11/2024,27/11/2024,06/12/2024,,Diplomata Papéis,87.2,0.0,0.0,Mar,Pix,1,R$ 1.09
Kraft Natural 170g/m2 66x96,1000,27/11/2024,02/12/2024,28/11/2024,02/12/2024,02/12/2024,3484,N.S.P. Comercial de Papéis Ltda RJ,940,40.0,206.8,Mar,Boleto,2,R$ 0.94
20411 OFFSET 75G - CHAMBRILUNICA-66,30000,27/11/2024,02/12/2024,28/11/2024,29/11/2024,04/12/2024,25322,Suzano,11706.38,0.0,1360.55,Mar,Boleto,4,R$ 0.39
Polen Natural 80g/m2 87x114,21000,28/11/2024,02/12/2024,28/11/2024,29/11/2024,04/12/2024,25323,Suzano,13926.03,0.0,1618.52,Elohim,Boleto,4,R$ 0.66
Polen Natural 80g/m2 87x114,23000,28/11/2024,02/12/2024,28/11/2024,29/11/2024,04/12/2024,812750,Suzano,15300.02,0.0,1778.21,Elohim,Boleto,4,R$ 0.67
MP027 Offset 240g/m2 66x96UNICA-U,4500,03/12/2024,09/12/2024,06/12/2024,10/12/2024,11/12/2024,26336,Suzano,6145.99,0.0,714.3,Bruniel,Boleto,4,R$ 1.37
Offset 240g/m2 76x112,14000,05/12/2024,09/12/2024,06/12/2024,09/12/2024,11/12/2024,814751,Suzano,26259.16,0.0,3051.91,Mar,Boleto,4,R$ 1.88
MP042 Polen Natural 80g/m2 66x96UNICA-U,67500,05/12/2024,10/12/2024,06/12/2024,12/12/2024,11/12/2024,26673,Suzano,28481.44,0.0,3310.19,Universo,Boleto,3,R$ 0.42
MP041 Offset 90g/m2 64x88UNICA-U,1000,05/12/2024,10/12/2024,09/12/2024,09/12/2024,11/12/2024,4578,N.S.P. Comercial de Papéis Ltda RJ,570,30.0,,Mar,Boleto,1,R$ 0.57
MP027 Offset 240g/m2 66x96UNICA-U,10000,06/12/2024,10/12/2024,09/12/2024,11/12/2024,13/12/2024,815320,Suzano,13554.42,0.0,1575.33,Asaliah,Boleto,3,R$ 1.36
20411 OFFSET 75G - CHAMBRILUNICA-66,750,12/12/2024,18/12/2024,16/12/2024,16/12/2024,19/12/2024,4592,Suzano,390.9,0.0,,Bruniel,Boleto,1,R$ 0.52
MP042 Polen Natural 80g/m2 66x96UNICA-U,11500,05/12/2024,10/12/2024,06/12/2024,12/12/2024,16/12/2024,26674,Suzano,4852.39,0.0,563.96,Elohim,Boleto,3,R$ 0.42
20403 SCRITURA 130G - 66X96UNICA-U,73000,17/12/2024,17/02/2025,26/12/2024,30/01/2025,17/02/2024,5135,Verde Forte,79951.29,3768.0,8854.23,Mar,Boleto,3,R$ 1.10
MP062 Couche Brilho 170g/m2 76x112UNICA-U,20000,23/12/2024,30/01/2025,26/12/2024,26/12/2024,29/12/2024,237247,Rio Branco Papéis,27258,0.0,1056.0,Bruniel,Boleto,3,R$ 1.36
20411 OFFSET 75G - CHAMBRILUNICA-66,30000,07/01/2025,14/01/2025,08/01/2025,08/01/2025,14/01/2025,818584,Suzano,12310.4,0.0,1430.75,Bruniel,Boleto,3,R$ 0.41
MP042 Polen Natural 80g/m2 66x96UNICA-U,30000,07/01/2025,13/01/2025,08/01/2025,09/01/2025,14/01/2025,25588,Suzano,13055.16,0.0,1517.31,Bruniel,Boleto,3,R$ 0.44
Polen Natural 80g/m2 64x88,54000,07/01/2025,13/01/2025,08/01/2025,10/01/2025,14/01/2025,28955,Suzano,20876.37,0.0,2426.31,Elohim,Boleto,4,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,18000,07/01/2025,13/01/2025,08/01/2025,10/01/2025,14/01/2025,28954,Suzano,6088.57,0.0,707.63,Mar,Boleto,4,R$ 0.34
Polen Natural 80g/m2 64x88,59000,10/01/2025,21/01/2025,13/01/2025,17/01/2025,21/01/2025,29723,Suzano,22809.44,0.0,2650.98,Asaliah,Boleto,3,R$ 0.39
MP042 Polen Natural 80g/m2 66x96UNICA-U,145000,10/01/2025,21/01/2025,14/01/2025,16/01/2025,21/01/2025,29510,Suzano,63060.12,0.0,7329.02,Bruniel,Boleto,3,R$ 0.43
Polen Natural 80g/m2 87x114,63000,10/01/2025,21/01/2025,13/01/2025,16/01/2025,21/01/2025,820419,Suzano,43914.84,0.0,1382.31,Bruniel,Boleto,4,R$ 0.70
20411 OFFSET 75G - CHAMBRILUNICA-66,22500,13/01/2025,17/01/2025,14/01/0205,16/01/2025,21/01/2025,29579,Suzano,9529.06,0.0,1107.49,Bruniel,Boleto,4,R$ 0.42
Offset 180g/m2 66x96,2000,13/01/2025,17/01/2025,14/01/2025,16/01/2025,21/01/2025,820419,Suzano,1032.16,0.0,32.49,Bruniel,Boleto,4,R$ 0.52
Cartao Supremo Alta Alvura 300g/m2 66x96,20,13/01/2025,14/01/2025,16/01/2025,16/01/2025,16/01/2025,125751,Diplomata Papéis,88.6,0.0,0.0,Bela,Cartão,1,R$ 4.43
20411 OFFSET 75G - CHAMBRILUNICA-66,22500,13/01/2025,17/01/2025,14/01/0205,16/01/2025,21/01/2025,29579,Suzano,9529.06,0.0,1107.49,Asaliah,Boleto,4,R$ 0.42
MP034 Offset 150g/m2 76x112UNICA-U,8500,24/01/2025,30/01/2025,28/01/2025,28/01/2025,29/01/2025,,Rio Branco Papéis,11.900.00,,,Bruniel,Boleto,3,R$ 1.40
MP039 Offset 90g/m2 76x112UNICA-U,2750,24/01/2025,30/01/2025,28/01/2025,28/01/2025,29/01/2025,,Rio Branco Papéis,2.046.00,,,Bruniel,Boleto,3,R$ 0.74
Polen Natural 80g/m2 87x114,7250,24/01/2025,30/01/2025,28/01/2025,28/01/2025,31/01/2025,822881,Suzano,5.054.12,0.0,587.4,Asaliah,Boleto,3,R$ 0.70
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,1500,28/01/2025,30/01/2025,30/01/2025,31/01/2025,31/01/2025,240053,Rio Branco Papéis,1.347.19,0.0,53.89,Bruniel,Boleto,3,R$ 0.90
20525 COUCHE MATTE 150G/M2 76X112UNICA-U,1500,28/01/2025,30/01/2025,30/01/2025,31/01/2025,31/01/2025,240053,Rio Branco Papéis,1.809.86,0.0,72.39,Bruniel,Boleto,3,R$ 1.21
MP042 Polen Natural 80g/m2 66x96UNICA-U,40000,03/02/2025,10/02/2025,19/03/2025,20/03/2025,25/03/2025,35732,Suzano,18752,0.0,2179.41,Bruniel,Boleto,4,R$ 0.47
Offset 75g/m2 76x112,45000,04/02/2025,10/02/2025,05/02/2025,06/02/2025,10/02/2025,240608,Rio Branco Papéis,28200,0.0,3384.0,Bruniel,Boleto,3,R$ 0.63
MP027 Offset 240g/m2 66x96UNICA-U,10000,06/12/2024,10/12/2024,05/02/2025,05/02/2025,10/12/2025,240429,Rio Branco Papéis,16560,0.0,1987.2,Asaliah,Boleto,3,R$ 1.66
Polen Natural 80g/m2 64x88,39500,11/02/2025,15/02/2025,13/02/2025,17/02/2025,18/02/2025,32985,Suzano,15690.74,0.0,1823.62,Bruniel,Boleto,4,R$ 0.40
MP028 Offset 120g/m2 66x96UNICA-U,12000,11/02/2025,15/02/2025,13/02/2025,14/02/2025,18/02/2025,32856,Suzano,7885.05,0.0,916.42,Bruniel,Boleto,3,R$ 0.66
Cartao Supremo Alta Alvura 250g/m2 66x96,2500,13/02/2025,18/02/2025,19/02/2025,20/02/2025,24/02/2025,33432,Suzano,3900.17,0.0,453.29,Bruniel,Boleto,3,R$ 1.56
MP039 Offset 90g/m2 76x112UNICA-U,4000,14/02/2025,23/02/2025,19/02/2025,20/02/2025,24/02/2025,33433,Suzano,2708.96,0.0,314.85,Bruniel,Boleto,3,R$ 0.68
Polen Natural 80g/m2 64x88,59500,10/01/2025,21/01/2025,17/01/2025,17/01/2025,17/01/2025,29724,Suzano,23002.66,0.0,2673.43,Bruniel,Boleto,3,R$ 0.39
Polen Natural 80g/m2 64x88,52000,14/02/2025,20/02/2025,19/02/2025,26/02/2025,24/02/2025,33914,Suzano,21011.2,0.0,2441.98,Bruniel,Boleto,4,R$ 0.40
Polen Natural 80g/m2 64x88,52000,17/02/2025,21/02/2025,19/02/2025,26/02/2025,24/02/2025,33914,Suzano,21011.2,0.0,2441.98,Bruniel,Boleto,4,R$ 0.40
MP038 Offset 90g/m2 66x96UNICA-U,4000,19/02/2025,23/02/2025,19/02/2025,20/02/2025,24/02/2025,33433,Suzano,2017.69,0.0,234.5,Bruniel,Boleto,3,R$ 0.50
Papel Adesivo Brilho 190g/m2 66x96,3000,19/02/2025,23/02/2025,20/02/2025,20/02/2025,26/02/2025,241890,Rio Branco Papéis,7350,0.0,882.0,Bruniel,Boleto,3,R$ 2.45
MP027 Offset 240g/m2 66x96UNICA-U,2000,20/02/2025,24/02/2025,20/02/2025,21/02/2025,24/02/2025,241982,Rio Branco Papéis,3312,0.0,397.44,Bruniel,Boleto,3,R$ 1.66
Polen Natural 80g/m2 64x88,16000,21/02/2025,26/02/2025,06/03/2025,06/03/2025,06/03/2025,34269,Suzano,6464.97,0.0,751.38,Bruniel,Boleto,4,R$ 0.40
